CGD:DEHA2C13574g	DEHA2C13574g	GO:0000350|GO:0035690
CGD:DEHA2C14718g	DEHA2C14718g	GO:0000166|GO:0017111
CGD:DEHA2F00198g	DEHA2F00198g	GO:0055085|GO:0022857|GO:0016020|GO:0015171|GO:0006810|GO:0003333
CGD:DEHA2G24354g	DEHA2G24354g	GO:0016779|GO:0003977|GO:0008152|GO:0006048|GO:0070569
CGD:DEHA2D13288g	DEHA2D13288g	GO:0016021
CGD:DEHA2G15202g	DEHA2G15202g	GO:0036178|GO:0036244|GO:0008270|GO:1900430|GO:0036180|GO:0006355|GO:1900442|GO:0036170|GO:1900445|GO:0009267|GO:0042025|GO:1900436|GO:0009405|GO:0000981|GO:0044182|GO:0030447|GO:0005634|GO:0003700|GO:0071244|GO:0071216
CGD:DEHA2F23320g	DEHA2F23320g	GO:0003712|GO:0016592|GO:0006357
CGD:DEHA2D01320g	DEHA2D01320g	GO:0005634|GO:0003677|GO:0008270|GO:0006351|GO:0006355|GO:0042025|GO:0000981
CGD:DEHA2B14410g	DEHA2B14410g	GO:0005524|GO:0016787
CGD:DEHA2D06820g	DEHA2D06820g	GO:0003735|GO:0005576|GO:0005840|GO:0005622|GO:0006412
CGD:DEHA2A00132g	DEHA2A00132g	GO:0010181|GO:0003824|GO:0016491|GO:0055114
CGD:DEHA2E21032g	DEHA2E21032g	GO:0017056|GO:0005643
CGD:DEHA2D16060g	DEHA2D16060g	GO:0003676|GO:0000166
CGD:DEHA2F23188g	DEHA2F23188g	GO:0003676|GO:0005524|GO:0003677|GO:0043486|GO:0004386|GO:1900239
CGD:DEHA2E18524g	DEHA2E18524g	GO:0006281|GO:0004518
CGD:DEHA2G20570g	DEHA2G20570g	GO:0042274|GO:0030686
CGD:DEHA2G07480g	DEHA2G07480g	GO:0003735|GO:0005840|GO:0006412
CGD:DEHA2B04642g	DEHA2B04642g	GO:0016616|GO:0051287|GO:0008152|GO:0055114
CGD:DEHA2A12760g	DEHA2A12760g	GO:0055085|GO:0022857|GO:0016020|GO:0016021
CGD:DEHA2F18238g	DEHA2F18238g	GO:0016791
CGD:DEHA2E03256g	DEHA2E03256g	GO:0016020|GO:0006508|GO:0031929|GO:0004222
CGD:DEHA2D11374g	DEHA2D11374g	GO:0030447|GO:0005634|GO:0003677|GO:0036180|GO:0071216|GO:0036170|GO:0009267
CGD:DEHA2C16346g	DEHA2C16346g	GO:0003677|GO:0000790|GO:0042803|GO:0042162|GO:0009303|GO:0043565|GO:0003682|GO:0045944|GO:0030674
CGD:DEHA2G00748g	DEHA2G00748g	GO:0016813|GO:0046872
CGD:DEHA2E13838g	DEHA2E13838g	GO:0003824|GO:0016020
CGD:DEHA2D08866g	DEHA2D08866g	GO:0003677|GO:0003899|GO:0006351
CGD:DEHA2A02178g	DEHA2A02178g	GO:0005525|GO:0006913|GO:0007165|GO:0007264|GO:0003924|GO:0016020|GO:0015031|GO:0005770|GO:0006886|GO:0006623|GO:0005622
CGD:DEHA2C01078g	DEHA2C01078g	GO:0003995|GO:0005777|GO:0003997|GO:0006635|GO:0016627|GO:0050660|GO:0008152|GO:0055114
