Geneid	RNA STAR on 1MKCl3: mapped.bam
gene-DEHA2B01100g	3260
gene-DEHA2B01122g	4789
gene-DEHA2B01144g	6202
gene-DEHA2B01166g	48
gene-DEHA2B01188g	2
gene-DEHA2B01210g	27382
gene-DEHA2B01232g	12508
gene-DEHA2B01254g	7458
gene-DEHA2B01276g	1804
gene-DEHA2B01298g	1318
gene-DEHA2B01320g	3557
gene-DEHA2B01342g	4079
gene-DEHA2B01364g	1749
gene-DEHA2B01386g	10430
gene-DEHA2B01408g	801
gene-DEHA2B01430g	23395
gene-DEHA2B01452g	3898
gene-DEHA2B01474g	2973
gene-DEHA2B01496g	3610
gene-DEHA2B01518g	4621
gene-DEHA2B01540g	3133
gene-DEHA2B01562g	2351
gene-DEHA2B01584g	4267
gene-DEHA2B01606g	685
gene-DEHA2B01628g	2754
gene-DEHA2B01650g	1894
gene-DEHA2B01672g	6650
gene-DEHA2B01694g	5059
gene-DEHA2B01716g	13913
gene-DEHA2B01738g	8051
gene-DEHA2B01760g	4097
gene-DEHA2B01782g	1353
gene-DEHA2B01804g	28431
gene-DEHA2B01826g	3930
gene-DEHA2B01848g	9
gene-DEHA2B01870g	7939
gene-DEHA2B01892g	1417
gene-DEHA2B01914g	3367
gene-DEHA2B01936g	1094
gene-DEHA2B01958g	7415
gene-DEHA2B01980g	16
gene-DEHA2B02002g	46
gene-DEHA2B02024g	2731
gene-DEHA2B02046g	2702
gene-DEHA2B02068g	2528
gene-DEHA2B02090g	4006
gene-DEHA2B02112g	819
gene-DEHA2B02134g	771
gene-DEHA2B02156g	3822
gene-DEHA2B02178g	7530
gene-DEHA2B02200g	2486
gene-DEHA2B02222g	2723
gene-DEHA2B02244g	2747
gene-DEHA2B02266g	1523
gene-DEHA2B02288g	1311
gene-DEHA2B02310g	100
gene-DEHA2B02332g	1527
gene-DEHA2B02354g	172
gene-DEHA2B02376g	4685
gene-DEHA2B02398g	185
gene-DEHA2B02420g	9083
gene-DEHA2B02442g	4124
gene-DEHA2B02464g	927
gene-DEHA2B02486g	2733
gene-DEHA2B02508g	1907
gene-DEHA2B02530g	2651
gene-DEHA2B02552g	10451
gene-DEHA2B02574g	14446
gene-DEHA2B02596g	11455
gene-DEHA2B02618g	5868
gene-DEHA2B02640g	3859
gene-DEHA2B02662r	4
gene-DEHA2B02684g	2760
gene-DEHA2B02706g	2825
gene-DEHA2B02728g	1109
gene-DEHA2B02750g	15362
gene-DEHA2B02772g	12179
gene-DEHA2B02794g	886
gene-DEHA2B02816g	1089
gene-DEHA2B02838g	5039
gene-DEHA2B02860g	5
gene-DEHA2B02882g	3787
gene-DEHA2B02904g	59846
gene-DEHA2B02926g	1734
gene-DEHA2B02948g	2540
gene-DEHA2B02970g	1691
gene-DEHA2B02992g	2060
gene-DEHA2B03014g	9867
gene-DEHA2B03036g	4205
gene-DEHA2B03058g	19346
gene-DEHA2B03080r	0
gene-DEHA2B03102g	4288
gene-DEHA2B03124g	2817
gene-DEHA2B03146g	2858
gene-DEHA2B03168g	636
gene-DEHA2B03190g	7402
gene-DEHA2B03212g	2565
gene-DEHA2B03234g	1895
gene-DEHA2B03256g	10154
gene-DEHA2B03278g	4734
gene-DEHA2B03300g	958
gene-DEHA2B03322g	2694
gene-DEHA2B03344g	2707
gene-DEHA2B03366g	7584
gene-DEHA2B03388g	2346
gene-DEHA2B03410g	10447
gene-DEHA2B03432g	973
gene-DEHA2B03454g	7783
gene-DEHA2B03476g	636
gene-DEHA2B03498g	8
gene-DEHA2B03520g	2826
gene-DEHA2B03542g	880
gene-DEHA2B03564g	4728
gene-DEHA2B03586g	10493
