Geneid	RNA STAR on 1MNaCl2: mapped.bam
gene-DEHA2B00484g	164
gene-DEHA2B00506g	810
gene-DEHA2B00528g	2800
gene-DEHA2B00550g	470
gene-DEHA2B00572g	36
gene-DEHA2B00594g	596
gene-DEHA2B00616g	1652
gene-DEHA2B00638g	2904
gene-DEHA2B00660g	13946
gene-DEHA2B00682g	3460
gene-DEHA2B00704g	1862
gene-DEHA2B00726g	2766
gene-DEHA2B00748g	1267
gene-DEHA2B00770g	1577
gene-DEHA2B00792g	1777
gene-DEHA2B00814g	8261
gene-DEHA2B00836g	52
gene-DEHA2B00858g	8500
gene-DEHA2B00880g	423
gene-DEHA2B00902g	35547
gene-DEHA2B00924g	3495
gene-DEHA2B00946g	5026
gene-DEHA2B00968g	7482
gene-DEHA2B00990g	473
gene-DEHA2B01012g	10038
gene-DEHA2B01034r	5
gene-DEHA2B01056g	5
gene-DEHA2B01078g	575
gene-DEHA2B01100g	2848
gene-DEHA2B01122g	5898
gene-DEHA2B01144g	5526
gene-DEHA2B01166g	28
gene-DEHA2B01188g	9
gene-DEHA2B01210g	33324
gene-DEHA2B01232g	9232
gene-DEHA2B01254g	6271
gene-DEHA2B01276g	1488
gene-DEHA2B01298g	1087
gene-DEHA2B01320g	3306
gene-DEHA2B01342g	4266
gene-DEHA2B01364g	2184
gene-DEHA2B01386g	9213
gene-DEHA2B01408g	950
gene-DEHA2B01430g	19764
gene-DEHA2B01452g	3826
gene-DEHA2B01474g	1948
gene-DEHA2B01496g	3677
gene-DEHA2B01518g	3440
gene-DEHA2B01540g	2747
gene-DEHA2B01562g	2329
gene-DEHA2B01584g	4006
gene-DEHA2B01606g	548
gene-DEHA2B01628g	2695
gene-DEHA2B01650g	1602
gene-DEHA2B01672g	6121
gene-DEHA2B01694g	4516
gene-DEHA2B01716g	12193
gene-DEHA2B01738g	7875
gene-DEHA2B01760g	4898
gene-DEHA2B01782g	1141
gene-DEHA2B01804g	34489
gene-DEHA2B01826g	3165
gene-DEHA2B01848g	4
gene-DEHA2B01870g	6246
gene-DEHA2B01892g	1235
gene-DEHA2B01914g	2280
gene-DEHA2B01936g	1037
gene-DEHA2B01958g	8518
gene-DEHA2B01980g	15
gene-DEHA2B02002g	36
gene-DEHA2B02024g	3151
gene-DEHA2B02046g	2775
gene-DEHA2B02068g	2171
gene-DEHA2B02090g	3639
gene-DEHA2B02112g	800
gene-DEHA2B02134g	622
gene-DEHA2B02156g	3081
gene-DEHA2B02178g	6610
gene-DEHA2B02200g	1520
gene-DEHA2B02222g	2743
gene-DEHA2B02244g	2178
gene-DEHA2B02266g	1395
gene-DEHA2B02288g	1207
gene-DEHA2B02310g	124
gene-DEHA2B02332g	1194
gene-DEHA2B02354g	147
gene-DEHA2B02376g	4182
gene-DEHA2B02398g	191
gene-DEHA2B02420g	9235
gene-DEHA2B02442g	3207
gene-DEHA2B02464g	673
gene-DEHA2B02486g	2337
gene-DEHA2B02508g	1716
gene-DEHA2B02530g	3188
gene-DEHA2B02552g	10211
gene-DEHA2B02574g	12190
gene-DEHA2B02596g	11995
gene-DEHA2B02618g	6387
gene-DEHA2B02640g	3607
gene-DEHA2B02662r	1
gene-DEHA2B02684g	2971
gene-DEHA2B02706g	3079
gene-DEHA2B02728g	910
gene-DEHA2B02750g	12379
gene-DEHA2B02772g	11414
gene-DEHA2B02794g	735
gene-DEHA2B02816g	913
gene-DEHA2B02838g	4406
gene-DEHA2B02860g	1
gene-DEHA2B02882g	3258
gene-DEHA2B02904g	57681
gene-DEHA2B02926g	1202
gene-DEHA2B02948g	2106
gene-DEHA2B02970g	1422
gene-DEHA2B02992g	1916
gene-DEHA2B03014g	8638
gene-DEHA2B03036g	3662
gene-DEHA2B03058g	23545
gene-DEHA2B03080r	0
gene-DEHA2B03102g	3911
gene-DEHA2B03124g	3285
gene-DEHA2B03146g	1928
gene-DEHA2B03168g	614
gene-DEHA2B03190g	6371
gene-DEHA2B03212g	2491
gene-DEHA2B03234g	1205
gene-DEHA2B03256g	8774
gene-DEHA2B03278g	4995
gene-DEHA2B03300g	857
gene-DEHA2B03322g	3263
gene-DEHA2B03344g	2620
gene-DEHA2B03366g	7605
gene-DEHA2B03388g	1722
gene-DEHA2B03410g	10824
gene-DEHA2B03432g	1033
gene-DEHA2B03454g	6252
gene-DEHA2B03476g	485
gene-DEHA2B03498g	7
gene-DEHA2B03520g	5317
gene-DEHA2B03542g	993
gene-DEHA2B03564g	3928
gene-DEHA2B03586g	9663
gene-DEHA2B03608g	0
gene-DEHA2B03630g	23636
gene-DEHA2B03652g	7909
gene-DEHA2B03674g	907
gene-DEHA2B03696g	3951
gene-DEHA2B03718g	18711
gene-DEHA2B03740g	2821
gene-DEHA2B03762g	1861
gene-DEHA2B03784g	1314
gene-DEHA2B03806g	5964
gene-DEHA2B03828g	9647
gene-DEHA2B03850g	285
gene-DEHA2B03872g	1037
gene-DEHA2B03894g	4267
gene-DEHA2B03916g	292
gene-DEHA2B03938g	12956
gene-DEHA2B03960g	4220
gene-DEHA2B03982g	3092
gene-DEHA2B04004g	1712
gene-DEHA2B04048g	4096
gene-DEHA2B04070g	4339
gene-DEHA2B04092g	1623
gene-DEHA2B04114g	453
gene-DEHA2B04136g	2068
gene-DEHA2B04158g	1338
gene-DEHA2B04180g	21479
gene-DEHA2B04202g	6732
gene-DEHA2B04224g	2439
gene-DEHA2B04246g	2472
gene-DEHA2B04268g	2927
gene-DEHA2B04290g	155
gene-DEHA2B04312g	13452
gene-DEHA2B04334g	1695
gene-DEHA2B04356g	4453
gene-DEHA2B04378g	2827
gene-DEHA2B04400g	1717
gene-DEHA2B04422g	1234
gene-DEHA2B04444g	261
gene-DEHA2B04466g	2741
gene-DEHA2B04488g	1064
gene-DEHA2B04510g	0
gene-DEHA2B04532g	3803
gene-DEHA2B04554g	6004
gene-DEHA2B04576g	1131
gene-DEHA2B04598g	1425
gene-DEHA2B04620g	14642
gene-DEHA2B04642g	7155
gene-DEHA2B04664g	6140
gene-DEHA2B04686g	31958
gene-DEHA2B04708g	7181
gene-DEHA2B04730g	13189
gene-DEHA2B04752g	5075
gene-DEHA2B04774g	3761
gene-DEHA2B04796g	7798
gene-DEHA2B04818g	5171
gene-DEHA2B04840r	0
gene-DEHA2B04862g	106
gene-DEHA2B04884g	3030
gene-DEHA2B04906g	23504
gene-DEHA2B04928g	8437
gene-DEHA2B04950g	6525
gene-DEHA2B04972g	13047
gene-DEHA2B04994g	6366
gene-DEHA2B05016g	2142
gene-DEHA2B05038g	2475
gene-DEHA2B05060g	2495
gene-DEHA2B05082g	2372
gene-DEHA2B05104g	9346
gene-DEHA2B05126g	3848
gene-DEHA2B05148g	1764
gene-DEHA2B05170g	5351
gene-DEHA2B05192g	2742
gene-DEHA2B05214g	1162
gene-DEHA2B05236g	6938
gene-DEHA2B05258g	2652
gene-DEHA2B05280g	2668
gene-DEHA2B05302g	1980
