ProteinID	NaCl1
Q6BJA6	93210.89844
Q6BJA8	62988.13672
Q6BJA9	181259.0469
Q6BJB0	35009.14063
Q6BJB1	25688.94336
Q6BJB2	2218.099121
Q6BJB3	1021984.875
Q6BJB4	17637996
Q6BJB5	17384.33594
Q6BJB7	198672.6406
Q6BJC1	0
Q6BJC3	175212.4531
Q6BJC4	58020.92578
Q6BJC5	6245.041992
Q6BJC7	171596.9688
Q6BJD0	17713.13477
Q6BJD3	32057.41992
Q6BJD4	28190.33008
Q6BJD6	95779.05469
Q6BJD7	27219.75
Q6BJD8	32503.97852
Q6BJE1	48605.93359
Q6BJE2	80134.90625
Q6BJE5	26214.04883
Q6BJE8	1881288.375
Q6BJE9	11522.18164
Q6BJF0	77453.90625
Q6BJF1	744929.5625
Q6BJF3	369370.2813
Q6BJF4	315318.9688
Q6BJF5	43160.80469
Q6BJF7	197187.4844
Q6BJG0	470163.4688
Q6BJG1	1959955.125
Q6BJG2	10626630
Q6BJG4	325811.9063
Q6BJG5	8434.253906
Q6BJG6	148433.4844
Q6BJG7	138152.5313
Q6BJG8	16485.47266
Q6BJG9	106432.8047
Q6BJH0	214817.4063
Q6BJH2	40434.27344
Q6BJH3	272930.625
Q6BJH4	208882.2188
Q6BJH5	994980.4375
Q6BJH6	402226.4063
Q6BJH7	53128.34375
Q6BJH8	44532.15234
Q6BJI0	23834.49414
Q6BJI1	163596.4531
Q6BJI2	846353.8125
Q6BJI7	442.552124
Q6BJI8	1265026
Q6BJJ3	153347.7813
Q6BJJ7	98129.00781
Q6BJJ8	46289.39063
Q6BJJ9	20399.52539
Q6BJK1	127661.9531
Q6BJK7	2322054.25
Q6BJK9	15310.5752
Q6BJL0	12925.79297
Q6BJL1	35809.01563
Q6BJL3	14598.77441
Q6BJL7	4519042.5
Q6BJM2	153338.5781
Q6BJM4	264214.1875
Q6BJM5	41288.61719
Q6BJN0	55188.64453
Q6BJN1	30050.0332
Q6BJN8	52375.19922
Q6BJN9	1332321.875
Q6BJP1	124636.8203
Q6BJP7	201219.5625
Q6BJP8	61342.53906
Q6BJQ1	33378.63281
Q6BJQ3	559513.5
Q6BJQ6	110848.3203
Q6BJQ8	54643.95313
Q6BJQ9	761209.5
Q6BJR2	0
Q6BJU2	55833.02734
Q6BJU8	31586.64063
Q6BJV6	41696.27344
Q6BJW9	69958.25781
Q6BJX1	25216.23242
Q6BJX3	12611.2207
Q6BJX4	185053.9375
Q6BJX6	517602.4375
Q6BJX8	175906.0313
