ProteinID	Control5
Q6BHE5	26504.07617
Q6BHE6	14000.15723
Q6BHE9	354056.4375
Q6BHF1	331470.6563
Q6BHF2	44284.90234
Q6BHF3	82692.10938
Q6BHF5	496272.3125
Q6BHF8	104522.0703
Q6BHF9	80874.64844
Q6BHG3	367014.75
Q6BHG4	425851.5313
Q6BHG5	60217.75
Q6BHG6	7173656.5
Q6BHG7	324630.75
Q6BHG8	51107.19531
Q6BHH1	1395223.875
Q6BHH4	48702.47656
Q6BHH5	714738.875
Q6BHH6	260904.0156
Q6BHH7	1590082.125
Q6BHH8	66686.14063
Q6BHH9	29392.91602
Q6BHI0	24931.36133
Q6BHI1	72041.00781
Q6BHI3	7464104
Q6BHI4	18247.60547
Q6BHI5	124214.2578
Q6BHI6	261611.2969
Q6BHI7	22053.61719
Q6BHI8	133891.8906
Q6BHJ0	12084.12402
Q6BHJ1	291206.875
Q6BHJ2	191951
Q6BHJ3	1697928
Q6BHJ6	8309.624023
Q6BHJ7	0
Q6BHJ8	200765.8281
Q6BHJ9	1920168.625
Q6BHK3	81358.30469
Q6BHK5	3611275.5
Q6BHK6	24885.6582
Q6BHK8	359590.5625
Q6BHK9	1495855.25
Q6BHL0	30314.81445
Q6BHL5	39419.61328
Q6BHL6	216671.0938
Q6BHL7	34846.07813
Q6BHL8	28313.90625
Q6BHL9	316637.4375
Q6BHM0	25690.17969
Q6BHM1	112612.9766
Q6BHM3	93180.57813
Q6BHM7	108192.1797
Q6BHM8	5126.565918
Q6BHN1	255605.5781
Q6BHN2	106394.0859
Q6BHN3	14273.43164
Q6BHN7	734871.0625
Q6BHN9	71134.07813
Q6BHP0	15116.13965
Q6BHP1	64348.71094
Q6BHP2	56538.11719
Q6BHP3	197333
Q6BHP5	11032.04199
Q6BHP9	25246.72852
Q6BHQ1	245187.625
Q6BHQ2	74188.40625
Q6BHQ3	17324.68945
Q6BHQ4	31085.0957
Q6BHQ5	1142037.125
Q6BHQ6	271141.6875
Q6BHQ8	159174.9063
Q6BHQ9	62339.32813
Q6BHR1	345787.5625
Q6BHR2	17265.91992
Q6BHR3	111273.2734
Q6BHR6	19037.6875
Q6BHR7	15411.07227
Q6BHR9	197281.7344
Q6BHS1	304836.5
Q6BHS6	31792.68555
Q6BHS8	8871741
Q6BHS9	18757.61914
Q6BHT0	26375.4043
Q6BHT6	256883.5625
Q6BHT9	40219.76563
Q6BHU0	207202.9844
Q6BHU1	6032.006836
Q6BHU2	72098.35938
Q6BHU3	49201.96094
Q6BHU5	559163.75
Q6BHU6	56748.58203
Q6BHU7	7408266
Q6BHU9	68115.17188
Q6BHV0	110322.2031
Q6BHV3	116668.2344
Q6BHV6	10867592
Q6BHV7_Q6BX12	8688464
Q6BHV8	2960027.25
Q6BHV9	421003.9688
Q6BHW0	960.9520874
Q6BHW4	379874.8125
Q6BHW9	6352.617188
Q6BHX0	16465.56641
Q6BHX1	120111.7813
Q6BHX2	770019.875
Q6BHX3	61516.21484
Q6BHX4	25366.82422
Q6BHX6	66319.92969
Q6BHX7	166207.3125
Q6BHX9	981498.125
Q6BHY0	11706164
Q6BHY3	62807.375
Q6BHY5	534656.0625
Q6BHY7	871857.8125
Q6BHY8	1754946.25
Q6BHY9	114974.3438
Q6BHZ0	985280.6875
Q6BHZ3	33368.03906
Q6BHZ9	657675.25
Q6BI01	11604392
Q6BI05	902662.6875
Q6BI06	26293.58594
Q6BI07	33813.09766
Q6BI10	178182.4688
Q6BI11	72845.96094
Q6BI13	676414.3125
Q6BI14	1075073.5
Q6BI15	98451.28125
Q6BI16	8821.538086
Q6BI17	92643.16406
Q6BI19	42565.875
Q6BI20	14527005
Q6BI21	43431.14063
Q6BI22	289582.6563
Q6BI23	33902.79688
Q6BI24	57019.10156
Q6BI26	39032.21094
Q6BI27	70716.83594
Q6BI28	2261.564453
Q6BI32	9658.390625
Q6BI33	1063624.25
Q6BI39	2537380.75
Q6BI41	21597.05664
Q6BI44	21377.11719
Q6BI46	5703769
Q6BI47	2116272.25
Q6BI49	0
Q6BI53	12238.70898
Q6BI54	25408.39063
Q6BI57	46429.93359
Q6BI59	80966.58594
Q6BI60	851415.875
Q6BI63	698594.5
Q6BI65	136256.9375
Q6BI67	2288761.25
Q6BI68	96118.76563
Q6BI69	1076.445068
Q6BI71	20107.55664
Q6BI72	208184.6563
Q6BI75	3740232.25
Q6BI82	25025.77539
Q6BI87	14693.69922
Q6BI89	4624368.5
Q6BI90	214426.7188
Q6BI91	285489.1875
Q6BI94	230707.7344
Q6BI95	3662139
Q6BI96	131442.5469
Q6BI97	42160.48047
Q6BI98	96678.77344
Q6BI99	79975.83594
Q6BIA1	38856.38672
Q6BIA2	736655.1875
