ProteinID,Control1,Control4,Control5,KCl2,KCl3,KCl4,NaCl1,NaCl2,NaCl3
Q6BMK0_4,3.3502528594219046e-09,1.5188505533224488e-09,1.346688343832501e-09,1.2727140201884294e-09,6.459737569238462e-10,1.6040167556818472e-09,6.397174147163866e-10,1.1268526856518059e-09,6.423965433838781e-10
Q6BMK0_5,5.717339850916479e-09,2.3031412993931923e-09,2.0405256117179547e-09,1.2236021656457723e-09,1.7453878515800714e-09,8.511221093953473e-10,5.359834066810555e-09,1.6775988188999964e-09,1.7853971930366842e-09
Q6BMK0_6,2.465011819319508e-09,1.5675634529611324e-09,1.4280799832497676e-09,4.683689880711622e-10,3.6159079300442017e-10,0.0,0.0,4.488402072926821e-10,3.048039208528055e-10
Q6BMK0_7,0.0,1.2911769522797722e-09,0.0,4.521857311357328e-09,0.0,1.1313307253646336e-08,1.5342095880253446e-09,0.0,0.0
Q6BMK0_8,0.0,0.0,0.0,0.0,7.842508212872112e-12,0.0,0.0,0.0,0.0
Q6BMK0_9,6.288192565634439e-10,5.264135959874683e-10,4.384177039315204e-10,2.5917963230563256e-10,2.403217283886324e-10,5.829030605587345e-11,5.427627116409247e-10,2.6037492475637227e-10,3.9471770658328193e-10
Q6BMK0_10,0.0,0.0,0.0,0.0,1.4097166799197944e-10,1.6298580610924778e-10,0.0,1.5884178689952916e-10,1.5816229934135034e-10
Q6BMK0_11,0.0,6.908576309686206e-11,5.830087484072168e-11,8.156613672003083e-11,1.4638044523096742e-10,2.8353617251502658e-11,1.3362996137107677e-10,1.7503537481024748e-10,1.0992357241102835e-10
Q6BMK0_12,3.4732957054017084e-10,1.3460350761605302e-10,1.174014435908993e-10,5.7006543816693055e-11,1.3236118797571132e-10,5.2727468728961885e-11,3.008390037447633e-10,5.994301679852146e-11,1.5023786938213846e-10
Q6BMK0_13,0.0,3.9987876953395044e-10,2.902362321385124e-10,4.179145802536615e-09,2.561485082253588e-09,9.183365047932759e-10,2.1240948070745045e-09,3.603665754600604e-09,2.5823749013134213e-09
Q6BMK0_14,0.0,0.0,0.0,0.0,1.023173288156798e-09,0.0,5.951061827487873e-10,1.2088343336615505e-09,8.256174019477571e-10
Q6BMK0_15,0.0,3.663264595686783e-10,2.2741675556616594e-10,8.998347731644502e-10,2.4461830251688024e-10,9.879304709718874e-11,3.992189986819092e-10,4.56187631933282e-10,1.9980173242071188e-10
Q6BMK0_16,0.0,1.7565590856380577e-10,0.0,3.218840899273646e-10,3.1750684768112137e-10,0.0,3.099217219484862e-10,3.340030538299756e-10,2.7534463660417294e-10
Q6BMK0_17,0.0,2.253887604818226e-11,1.8624427158455183e-11,3.4082310865017317e-11,1.3823075100486167e-10,6.905279017476296e-11,2.2081561837708094e-10,1.444284291653548e-10,5.339622612563475e-11
Q6BMK0_18,0.0,7.783336740125698e-10,6.9317938625994e-10,8.324217228846187e-10,1.1372242092657505e-09,6.054909033100372e-10,1.4525664110752116e-09,1.262480362791264e-09,1.0057588051709307e-09
Q6BMK0_19,0.0,3.2540711585875925e-10,2.9171306721763263e-10,2.276080779635431e-10,1.951715591348935e-10,2.677909898003104e-10,1.5404889874943207e-10,2.0001361230249238e-10,1.5695818241206942e-10
Q6BMK0_20,0.0,1.2827382719962228e-09,6.230752724287763e-10,6.623761416636648e-10,5.577196282452738e-10,1.332824917965897e-10,1.5035582600253209e-09,1.1053462766583608e-09,5.820407003036669e-10
Q6BMK0_21,2.1012728460520813e-10,1.4079253272703088e-10,1.0759850478322493e-10,1.0843127538577532e-10,9.72767574141033e-11,2.0071188449850818e-11,3.13276348514749e-10,1.2651451616484638e-10,7.961061737846303e-11
Q6BMK0_22,8.220016552106853e-11,0.0,2.1670047010217234e-11,1.2244080942540626e-11,5.403937617559273e-11,2.2962878379633732e-11,1.6960192963354165e-10,4.282042564261706e-11,4.1824784206406236e-11
Q6BMK0_23,0.0,1.8771693892008714e-10,1.7881235886455212e-10,3.0652710305573575e-10,3.5378267781536517e-10,3.398861764344279e-11,5.235352712641538e-10,4.04414493657739e-10,2.987365580472986e-10
Q6BMK0_24,0.0,1.0515889402087016e-10,1.0999314268710699e-10,1.6227859882293491e-10,2.603889003044811e-10,1.6642723757751697e-10,4.5511488821675614e-10,1.7396864021189564e-10,2.1624281366497492e-10
Q6BMK0_25,0.0,5.600918086406606e-11,2.7216116604131862e-11,2.7028804728075474e-10,1.6948803552717935e-10,5.065146172650982e-11,3.9633154568778126e-10,3.7430357815615756e-10,1.887828284228935e-10
Q6BMK0_26,0.0,0.0,4.42533660526951e-11,2.645418069755654e-10,1.219851913951091e-10,1.0958205929442071e-10,4.724280844013487e-11,1.3600929070182058e-10,7.174340067852433e-11
Q6BMK0_27,0.0,2.2384176439602996e-11,1.3812666009692553e-11,7.371973363925718e-11,9.032708969948724e-11,0.0,2.4746423005487347e-10,2.2387395866768716e-10,1.7315477007481964e-10
Q6BMK0_28,0.0,2.0867425943046267e-10,1.2908916019193782e-10,3.4857085822061153e-10,6.301543977691994e-10,5.749037368695396e-11,4.863176280143451e-10,4.375365526231404e-10,4.196025135391714e-10
Q6BMK0_29,0.0,1.524931033163213e-10,1.5783407568893202e-10,3.5325577586815327e-10,2.028247474305877e-10,2.94190474387911e-10,3.267699102837518e-10,2.452608339839602e-10,2.43001779076519e-10
Q6BMK0_30,0.0,1.4124559938305326e-10,7.956300599796018e-11,1.9248587442824467e-10,3.237551242277778e-10,3.754688332567965e-11,3.0124210637606086e-10,3.373405636909368e-10,1.7453637005598398e-10
Q6BMK0_31,0.0,4.0256786249288565e-10,1.5012508849171026e-10,7.595439063317144e-11,1.4737090969726572e-11,2.848505714017112e-12,1.8063061535333e-10,1.4802713021362693e-10,3.979854067785201e-11
Q6BMK0_32,0.0,5.054213758669997e-11,3.3379379475850985e-11,1.6391577161746472e-14,2.0810728032564428e-11,1.5729449490158138e-14,1.1028030841900944e-10,1.620610308811447e-11,1.6732709776440833e-11
Q6BMK0_33,0.0,4.205182975439453e-11,2.9414516240879054e-11,0.0,3.30437544181456e-11,2.667218095706985e-11,1.7959097916503329e-10,3.014503317891963e-11,2.005449027646835e-11
Q6BMK0_34,0.0,2.571124623736749e-10,2.1066462868493355e-10,2.690730535872157e-10,4.3938804972729025e-10,0.0,3.1928494534383004e-10,3.969487301856851e-10,3.5129940941516524e-10
